CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 15-64,Population 65+,Population Total,Tourism Inbound,Tourism Outbound,Birth Rate,Internet Usage,Population 0-14,Population Urban
524.0,26.0,14338.0,1133644295.0,0.062,1291.125,0.004,0.12,75.0,69.0,0.4,0.6425000000000001,0.052,65399.0,688500000.0,456000000.0,0.011,0.1,0.2995,0.924
63696.0,26.0,28558.0,192070749954.0,0.1,1291.125,0.005,0.12,81.0,75.0,0.8,0.675,0.155,8011566.0,6341000000.0,4058250000.0,0.01,0.3,0.17,0.658
53469.0,26.0,24695.0,12736856485.0,0.061,64.0,0.011,0.22649999999999998,75.0,63.0,0.0,0.679,0.134,10005000.0,188000000.0,247000000.0,0.009,0.0,0.186,0.7
103049.5,26.0,46913.625,221375013581.25,0.081,1291.125,0.005,0.08,81.0,75.0,0.5,0.655,0.169,10251250.0,6341000000.0,4058250000.0,0.011,0.3,0.176,0.971
23223.0,26.0,4346.0,5505984456.0,0.071,103.0,0.008,0.22649999999999998,77.0,72.0,0.0,0.691,0.107,3834364.0,246000000.0,92000000.0,0.01,0.0,0.202,0.393
43531.0,26.0,18688.0,12903546765.0,0.062,98.0,0.018,0.113,75.0,68.0,0.1,0.677,0.166,8170172.0,1364000000.0,764000000.0,0.009,0.1,0.157,0.689
19644.0,26.0,7790.0,21517784659.0,0.078,377.0,0.007,0.121,77.0,69.0,0.2,0.673,0.156,4426000.0,2871000000.0,634000000.0,0.01,0.1,0.172,0.556
6850.0,26.0,2137.0,9314937556.0,0.058,744.0,0.006,0.08,80.0,76.0,0.2,0.674,0.102,943287.0,2137000000.0,543000000.0,0.013,0.2,0.224,0.686
103049.5,26.0,40993.0,58807244368.0,0.063,361.0,0.006,0.072,78.0,72.0,0.4,0.697,0.138,10255063.0,2973000000.0,1276000000.0,0.009,0.1,0.165,0.74
47260.0,26.0,18634.0,160082517846.0,0.087,1291.125,0.005,0.081,79.0,74.0,0.6,0.667,0.149,5339616.0,3671000000.0,4058250000.0,0.013,0.4,0.185,0.851
15181.0,26.0,4715.0,5675697575.0,0.053,213.0,0.009,0.074,76.0,65.0,0.4,0.669,0.152,1396985.0,657000000.0,253000000.0,0.01,0.3,0.18,0.694
711.0,26.0,14338.0,1062339944.0,0.061,193.0,0.02,0.12,82.0,76.0,0.4,0.6425000000000001,0.052,46491.0,688500000.0,456000000.0,0.02,0.3,0.2995,0.363
52141.0,26.0,32233.0,121793808734.0,0.072,1291.125,0.004,0.056,81.0,74.0,0.7,0.669,0.149,5176209.0,2035000000.0,2293000000.0,0.011,0.4,0.182,0.822
103049.5,26.0,46913.625,221375013581.25,0.101,1291.125,0.004,0.067,83.0,75.0,0.5,0.65,0.16,49034725.375,6341000000.0,4058250000.0,0.013,0.1,0.189,0.759
103049.5,26.0,46913.625,221375013581.25,0.104,1291.125,0.004,0.096,81.0,75.0,0.6,0.681,0.163,49034725.375,6341000000.0,4058250000.0,0.009,0.3,0.156,0.731
91616.0,26.0,27086.0,124418163928.0,0.079,918.0,0.007,0.123,81.0,75.0,0.5,0.68,0.168,10917482.0,6341000000.0,4058250000.0,0.01,0.1,0.152,0.727
57238.0,26.0,24999.0,46385589534.0,0.072,326.0,0.01,0.126,76.0,67.0,0.3,0.68,0.151,10210971.0,3809000000.0,1722000000.0,0.01,0.1,0.168,0.646
2164.0,26.0,3100.0,8697298234.0,0.095,1291.125,0.003,0.168,82.0,78.0,0.8,0.651,0.116,281205.0,386000000.0,471000000.0,0.014,0.4,0.233,0.924
41345.0,26.0,13574.0,97331522066.0,0.061,1291.125,0.006,0.048,79.0,74.0,0.6,0.67,0.112,3805174.0,3517000000.0,2626000000.0,0.014,0.2,0.218,0.591
8529.0,26.0,14338.0,1563667800.0,0.061,193.0,0.02,0.12,75.0,69.0,0.5,0.6425000000000001,0.052,76806.0,688500000.0,456000000.0,0.02,0.1,0.2995,0.518
103049.5,26.0,46913.625,221375013581.25,0.079,1291.125,0.005,0.07,83.0,77.0,0.7,0.674,0.183,49034725.375,6341000000.0,4058250000.0,0.01,0.2,0.143,0.672
8529.0,26.0,1545.0,1849196082.0,0.061,193.0,0.02,0.12,70.0,66.0,0.5,0.6425000000000001,0.052,1700000.0,688500000.0,456000000.0,0.023,0.1,0.2995,0.56
6241.0,26.0,3832.0,7833068425.0,0.06,197.0,0.015,0.119,76.0,65.0,0.2,0.671,0.15,2367550.0,172000000.0,281000000.0,0.009,0.1,0.179,0.681
8529.0,26.0,14338.0,2483890594.0,0.061,193.0,0.02,0.12,80.0,74.0,0.3,0.6425000000000001,0.052,33093.0,688500000.0,456000000.0,0.013,0.4,0.2995,0.151
12200.0,26.0,7131.0,11434200000.0,0.065,212.0,0.01,0.121,78.0,67.0,0.2,0.662,0.139,3499536.0,430000000.0,261000000.0,0.01,0.1,0.199,0.67
8240.0,26.0,3335.0,20267551133.0,0.075,1291.125,0.004,0.12,81.0,75.0,0.7,0.67,0.141,436300.0,1686000000.0,1309000000.0,0.013,0.2,0.189,0.842
12064.0,26.0,2668.0,3586883989.0,0.087,153.0,0.014,0.189,76.0,71.0,0.1,0.676,0.1,2052129.0,88000000.0,58000000.0,0.013,0.0,0.224,0.585
2065.0,26.0,676.0,3957418083.0,0.066,643.0,0.007,0.073,80.0,76.0,0.3,0.686,0.107,381363.0,731000000.0,224000000.0,0.012,0.1,0.207,0.924
3513.0,26.0,2883.0,1288420223.0,0.067,24.0,0.025,0.22649999999999998,71.0,63.0,0.0,0.663,0.1,3639592.0,57000000.0,86000000.0,0.012,0.0,0.237,0.458
8529.0,26.0,14338.0,2647883820.0,0.033,1291.125,0.004,0.12,75.0,69.0,0.4,0.6425000000000001,0.052,32081.0,688500000.0,456000000.0,0.02,0.4,0.2995,1.0
8529.0,26.0,14338.0,984279596.0,0.075,121.0,0.013,0.12,77.0,71.0,0.5,0.673,0.113,611196.0,688500000.0,456000000.0,0.013,0.1,0.213,0.585
103049.5,26.0,46913.625,221375013581.25,0.08,1291.125,0.005,0.048,81.0,76.0,0.7,0.679,0.136,15925513.0,6341000000.0,4058250000.0,0.013,0.4,0.186,0.768
38808.0,26.0,26092.0,168288531891.0,0.091,1291.125,0.004,0.089,81.0,76.0,0.7,0.648,0.152,4490967.0,2521000000.0,4058250000.0,0.013,0.5,0.2,0.761
103049.5,26.0,46913.625,171276118424.0,0.055,247.0,0.008,0.2,78.0,70.0,0.2,0.684,0.123,38258629.0,6128000000.0,3417000000.0,0.01,0.1,0.194,0.617
62966.0,26.0,24673.0,117299520914.0,0.093,1070.0,0.006,0.12,80.0,73.0,0.6,0.676,0.162,10289898.0,6027000000.0,2754000000.0,0.012,0.2,0.162,0.544
89985.0,26.0,36228.0,37305099928.0,0.043,72.0,0.023,0.22649999999999998,75.0,68.0,0.1,0.68,0.134,22442971.0,394000000.0,447000000.0,0.01,0.0,0.186,0.53
103049.5,26.0,46913.625,221375013581.25,0.054,96.0,0.02,0.22649999999999998,72.0,59.0,0.0,0.694,0.124,49034725.375,3429000000.0,4058250000.0,0.009,0.0,0.182,0.734
8529.0,26.0,14338.0,773907642.0,0.053,1291.125,0.005,0.092,84.0,77.0,0.5,0.6425000000000001,0.052,26969.0,688500000.0,456000000.0,0.02,0.5,0.2995,0.934
8529.0,26.0,13728.0,6082791506.0,0.074,51.0,0.011,0.063,75.0,70.0,0.5,0.669,0.129,7516346.0,688500000.0,456000000.0,0.01,0.1,0.202,0.532
37312.0,26.0,17743.0,28724041828.0,0.055,208.0,0.01,0.149,77.0,69.0,0.2,0.689,0.114,5388720.0,441000000.0,341000000.0,0.01,0.1,0.197,0.562
14265.0,26.0,6413.0,19979467790.0,0.083,831.0,0.005,0.158,79.0,72.0,0.6,0.7,0.141,1988925.0,1016000000.0,544000000.0,0.009,0.2,0.159,0.508
103049.5,26.0,46913.625,221375013581.25,0.072,1045.0,0.005,0.052,83.0,76.0,0.6,0.684,0.169,40263216.0,6341000000.0,4058250000.0,0.01,0.1,0.148,0.763
49794.0,26.0,46913.625,221375013581.25,0.082,1291.125,0.003,0.058,82.0,77.0,0.7,0.643,0.173,8872109.0,4825000000.0,4058250000.0,0.01,0.5,0.184,0.84
39050.0,26.0,25005.0,221375013581.25,0.099,1291.125,0.005,0.043,83.0,77.0,0.6,0.673,0.153,7184250.0,6341000000.0,4058250000.0,0.011,0.5,0.174,0.733
103049.5,26.0,46913.625,221375013581.25,0.049,196.0,0.034,0.12,74.0,66.0,0.3,0.634,0.06,49034725.375,6341000000.0,1713000000.0,0.021,0.0,0.307,0.647
